product_id,avg_sentiment,median_sentiment,positive_share,sentiment_review_count
P480606,0.748,0.8994500000000001,93.2,414
P480607,0.713,0.80715,94.4,18
P480608,0.733,0.84,93.3,90
P480610,0.812,0.9237500000000001,100.0,6
P480612,0.757,0.8625,95.2,3167
P480613,0.768,0.8913,93.2,424
P480628,0.782,0.88,94.3,194
P480629,0.704,0.8807,90.7,257
P480630,0.612,0.8225,85.8,4419
P480986,0.468,0.6990000000000001,75.0,44
P481058,0.73,0.9212,90.3,31
P481060,0.754,0.8903,92.7,55
P481062,0.317,0.39615,50.0,4
P481077,0.65,0.8591,100.0,3
P481081,0.69,0.8307,100.0,4
P481082,0.808,0.8297,100.0,4
P481084,0.774,0.8818,95.7,2783
P481086,0.888,0.9342,98.7,77
P481096,0.793,0.9231,94.1,253
P481138,0.236,0.19619999999999999,66.7,12
P481142,0.823,0.9286,98.3,178
P481145,0.818,0.9201,97.4,189
P481161,0.785,0.8934,95.6,871
P481162,0.797,0.8844,96.9,452
P481164,0.809,0.91155,96.3,926
P481169,0.421,0.7261,73.6,485
P481334,0.467,0.6273,75.0,12
P481335,0.787,0.89355,94.0,216
P481336,0.748,0.8481,95.0,181
P481339,0.649,0.8516999999999999,88.5,26
P481340,0.578,0.7836,82.9,439
P481341,0.742,0.8805,91.6,83
P481342,0.492,0.49175,100.0,2
P481347,0.475,0.7810999999999999,75.0,16
P481348,0.766,0.8974500000000001,94.1,170
P481350,0.707,0.92,88.9,9
P481354,0.701,0.83985,93.1,204
P481363,0.742,0.8178000000000001,96.0,176
P481366,0.741,0.9092,92.6,445
P481367,0.669,0.8542000000000001,89.0,228
P481368,0.815,0.9145,100.0,22
P481371,0.69,0.807,92.5,173
P481376,0.557,0.63165,85.7,14
P481390,0.668,0.8791500000000001,90.6,64
P481397,0.302,0.3017,100.0,1
P481401,0.81,0.8914,97.1,35
P481408,0.732,0.9352,88.4,69
P481668,0.5,0.5625,80.0,5
P481697,0.809,0.89555,96.5,372
P481699,0.558,0.8242,84.0,25
P481700,0.712,0.902,87.8,148
P481701,0.801,0.9329,94.7,151
P481703,0.638,0.7963,88.8,152
P481704,0.651,0.8093,100.0,5
P481710,0.717,0.9073,88.9,63
P481712,0.698,0.89035,88.9,18
P481732,0.87,0.93795,97.8,412
P481739,0.747,0.9074,91.4,771
P481742,0.803,0.9025,97.6,42
P481743,0.829,0.9031,97.7,44
P481748,0.873,0.94,98.3,229
P481817,0.683,0.8395,90.0,3404
P481825,0.688,0.84305,92.1,152
P481828,0.796,0.9031,96.1,153
P481830,0.864,0.9359,97.6,502
P481831,0.831,0.9269,96.6,1053
P481832,0.792,0.89905,96.1,388
P481833,0.792,0.8957,95.9,343
P481834,0.851,0.93675,97.3,74
P481837,0.667,0.83215,88.9,18
P481970,0.675,0.7382,100.0,6
P481971,0.738,0.8892,100.0,3
P481972,0.824,0.9225,96.1,561
P481973,0.773,0.83455,100.0,30
P481975,0.744,0.9041,88.9,27
P481989,0.62,0.8735,84.2,1295
P481993,0.96,0.96,100.0,1
P482005,0.781,0.9186,94.0,83
P482006,0.759,0.9052,93.7,271
P482007,0.753,0.8193,95.2,42
P482008,0.761,0.9359,91.6,320
P482009,0.573,0.6116999999999999,83.3,6
P482021,0.63,0.90985,83.3,6
P482024,0.768,0.8913,93.2,424
P482025,0.893,0.9555,98.4,127
P482058,0.726,0.89575,90.0,10
P482061,0.784,0.9094,94.9,276
P482068,0.811,0.9136,94.7,57
P482074,0.761,0.8856,94.7,487
P482256,0.869,0.9049499999999999,100.0,6
P482258,0.332,0.59275,66.7,6
P482259,0.777,0.8622,100.0,9
P482260,0.847,0.9168000000000001,98.4,186
P482264,0.813,0.9035500000000001,96.9,392
P482269,0.801,0.9195500000000001,93.7,300
P482298,0.748,0.8847,93.5,571
P482309,0.547,0.87605,75.0,4
P482311,0.5,0.6808,72.7,11
P482312,0.447,0.6705,78.0,41
P482313,0.706,0.7419,100.0,7
P482314,0.326,0.3291,60.0,15
P482318,0.413,0.8343499999999999,75.0,16
P482320,0.638,0.8422,86.9,1455
P482321,0.639,0.8729,83.5,455
P482322,0.479,0.6846,79.2,24
P482323,0.621,0.8815,85.1,382
P482325,0.735,0.8995,90.7,356
P482327,0.523,0.7361,77.8,108
P482328,0.483,0.65955,78.3,92
P482329,0.656,0.8201,90.5,317
P482510,0.815,0.91265,96.0,100
P482529,0.651,0.8104,88.0,216
P482535,0.751,0.9083,91.7,1027
P482540,0.824,0.9118,97.0,467
P482551,0.878,0.9473,97.7,533
P482552,0.793,0.9196,94.3,209
P482661,0.436,0.46195,50.0,4
P482675,0.823,0.9036,97.0,101
P482676,0.819,0.94665,94.4,828
P482681,0.807,0.9171,95.8,359
